square,higher_geography_identifier,geographic_region__higher_geography
SJ56B,58,Cheshire
SJ56C,58,Cheshire
SJ56D,58,Cheshire
SJ56E,58,Cheshire
SJ57A,58,Cheshire
SJ57B,58,Cheshire
SJ57C,58,Cheshire
SJ57D,58,Cheshire
SJ57E,58,Cheshire
SJ58A,58,Cheshire
SJ58B,58,Cheshire
SJ54G,58,Cheshire
SJ54H,58,Cheshire
SJ54I,58,Cheshire
SJ54J,58,Cheshire
SJ55F,58,Cheshire
SJ55G,58,Cheshire
SJ55H,58,Cheshire
SJ55I,58,Cheshire
SJ55J,58,Cheshire
SJ56F,58,Cheshire
SJ56G,58,Cheshire
SJ56H,58,Cheshire
SJ56I,58,Cheshire
SJ56J,58,Cheshire
SJ57F,58,Cheshire
SJ57G,58,Cheshire
SJ57H,58,Cheshire
SJ57I,58,Cheshire
SJ57J,58,Cheshire
SJ58F,58,Cheshire
SJ58G,58,Cheshire
SJ58H,58,Cheshire
SJ54L,58,Cheshire
SJ54M,58,Cheshire
SJ54N,58,Cheshire
SJ54P,58,Cheshire
SJ55K,58,Cheshire
SJ55L,58,Cheshire
SJ55M,58,Cheshire
SJ55N,58,Cheshire
SJ55P,58,Cheshire
SJ56K,58,Cheshire
SJ56L,58,Cheshire
SJ56M,58,Cheshire
SJ56N,58,Cheshire
SJ56P,58,Cheshire
SJ57K,58,Cheshire
SJ57L,58,Cheshire
SJ57M,58,Cheshire
SJ57N,58,Cheshire
SJ57P,58,Cheshire
SJ58K,58,Cheshire
SJ58L,58,Cheshire
SJ58M,58,Cheshire
SJ58N,58,Cheshire
SJ54R,58,Cheshire
SJ54S,58,Cheshire
SJ54T,58,Cheshire
SJ54U,58,Cheshire
SJ55Q,58,Cheshire
SJ55R,58,Cheshire
SJ55S,58,Cheshire
SJ55T,58,Cheshire
SJ55U,58,Cheshire
SJ56Q,58,Cheshire
SJ56R,58,Cheshire
SJ56S,58,Cheshire
SJ56T,58,Cheshire
SJ56U,58,Cheshire
SJ57Q,58,Cheshire
SJ57R,58,Cheshire
SJ57S,58,Cheshire
SJ57T,58,Cheshire
SJ57U,58,Cheshire
SJ58Q,58,Cheshire
SJ58R,58,Cheshire
SJ58S,58,Cheshire
